    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
5400 | 1687             1688 2.904e-05 |
5420 | 1695             1696 2.891e-05 |
5440 | 1702             1703 2.928e-05 |
5460 | 1706             1707 2.929e-05 |
5480 | 1713             1714 2.938e-05 |
5500 | 1720             1721 2.913e-05 |
5520 | 1724             1725 3.272e-05 |
5540 | 1733             1734 2.975e-05 |
5560 | 1739             1740 2.968e-05 |
5580 | 1744             1745 2.971e-05 |
5600 | 1753             1754 3.017e-05 |
5620 | 1757             1758 3.000e-05 |
5640 | 1762             1763 3.018e-05 |
5660 | 1771             1772 3.060e-05 |
5680 | 1776             1777 3.055e-05 |
5700 | 1782             1783 3.056e-05 |
5720 | 1791             1792 3.077e-05 |
5740 | 1796             1797 3.092e-05 |
5760 | 1805             1806 3.056e-05 |
5780 | 1811             1812 3.097e-05 |
5800 | 1815             1816 3.156e-05 |
5820 | 1822             1823 3.120e-05 |
5840 | 1829             1830 3.091e-05 |
5860 | 1833             1834 3.145e-05 |
5880 | 1842             1843 3.145e-05 |
5900 | 1848             1849 3.153e-05 |
5920 | 1852             1853 3.180e-05 |
5940 | 1860             1861 3.200e-05 |
5960 | 1867             1868 3.202e-05 |
5980 | 1874             1875 3.215e-05 |
6000 | 1882             1883 3.269e-05 |
6020 | 1886             1887 3.234e-05 |
6040 | 1890             1891 3.208e-05 |
6060 | 1900             1901 3.258e-05 |
6080 | 1904             1905 3.227e-05 |
6100 | 1910             1911 3.240e-05 |
6120 | 1918             1919 3.291e-05 |
6140 | 1922             1923 3.308e-05 |
6160 | 1930             1931 3.307e-05 |
6180 | 1936             1937 3.339e-05 |
6200 | 1940             1941 3.346e-05 |
6220 | 1950             1951 3.342e-05 |
6240 | 1955             1956 3.348e-05 |
6260 | 1959             1960 3.391e-05 |
6280 | 1967             1968 3.401e-05 |
6300 | 1973             1974 3.366e-05 |
6320 | 1978             1979 3.406e-05 |
6340 | 1985             1986 3.402e-05 |
6360 | 1992             1993 3.401e-05 |
6380 | 1998             1999 3.455e-05 |
6400 | 2006             2007 3.465e-05 |
6420 | 2010             2011 3.459e-05 |
6440 | 2015             2016 3.631e-05 |
6460 | 2024             2025 3.517e-05 |
6480 | 2028             2029 3.515e-05 |
6500 | 2034             2035 3.554e-05 |
6520 | 2043             2044 3.504e-05 |
6540 | 2047             2048 3.537e-05 |
6560 | 2053             2054 3.603e-05 |
6580 | 2062             2063 3.595e-05 |
6600 | 2066             2067 3.601e-05 |
6620 | 2076             2077 3.623e-05 |
6640 | 2081             2082 3.620e-05 |
6660 | 2085             2086 3.593e-05 |
6680 | 2093             2094 3.622e-05 |
6700 | 2099             2100 3.622e-05 |
6720 | 2104             2105 3.635e-05 |
6740 | 2111             2112 3.660e-05 |
6760 | 2117             2118 3.612e-05 |
6780 | 2123             2124 3.706e-05 |
6800 | 2132             2133 3.747e-05 |
6820 | 2136             2137 3.682e-05 |
6840 | 2142             2143 3.742e-05 |
6860 | 2149             2150 3.747e-05 |
6880 | 2153             2154 3.752e-05 |
6900 | 2159             2160 3.790e-05 |
6920 | 2167             2168 3.764e-05 |
6940 | 2171             2172 3.735e-05 |
6960 | 2177             2178 3.819e-05 |
6980 | 2186             2187 3.799e-05 |
7000 | 2190             2191 3.808e-05 |
7020 | 2200             2201 3.843e-05 |
7040 | 2205             2206 3.823e-05 |
7060 | 2209             2210 3.809e-05 |
7080 | 2217             2218 3.850e-05 |
7100 | 2223             2224 3.844e-05 |
7120 | 2227             2228 3.860e-05 |
7140 | 2236             2237 3.862e-05 |
7160 | 2242             2243 3.867e-05 |
7180 | 2246             2247 3.919e-05 |
7200 | 2255             2256 3.900e-05 |
7220 | 2260             2261 3.917e-05 |
7240 | 2268             2269 3.965e-05 |
7260 | 2275             2276 3.962e-05 |
7280 | 2279             2280 3.948e-05 |
7300 | 2286             2287 3.951e-05 |
7320 | 2294             2295 3.980e-05 |
7340 | 2298             2299 3.997e-05 |
7360 | 2305             2306 4.041e-05 |
7380 | 2313             2314 4.002e-05 |
7400 | 2317             2318 4.068e-05 |
7420 | 2326             2327 4.083e-05 |
7440 | 2332             2333 4.093e-05 |
7460 | 2335             2336 4.073e-05 |
7480 | 2345             2346 4.097e-05 |
7500 | 2350             2351 4.140e-05 |
7520 | 2354             2355 4.135e-05 |
7540 | 2364             2365 4.105e-05 |
7560 | 2369             2370 4.172e-05 |
7580 | 2374             2375 4.377e-05 |
7600 | 2381             2382 4.183e-05 |
7620 | 2386             2387 4.193e-05 |
7640 | 2393             2394 4.207e-05 |
7660 | 2400             2401 4.273e-05 |
7680 | 2404             2405 4.224e-05 |
7700 | 2410             2411 4.220e-05 |
7720 | 2418             2419 4.212e-05 |
7740 | 2422             2423 4.202e-05 |
7760 | 2429             2430 4.253e-05 |
7780 | 2437             2438 4.273e-05 |
7800 | 2441             2442 4.320e-05 |
7820 | 2448             2449 4.302e-05 |
7840 | 2456             2457 4.261e-05 |
7860 | 2460             2461 4.317e-05 |
7880 | 2470             2471 4.329e-05 |
7900 | 2474             2475 4.378e-05 |
7920 | 2479             2480 4.384e-05 |
7940 | 2488             2489 5.430e-04 |
7960 | 2494             2495 4.420e-05 |
7980 | 2499             2500 4.389e-05 |
8000 | 2506             2507 4.447e-05 |
8020 | 2511             2512 4.391e-05 |
8040 | 2517             2518 4.355e-05 |
8060 | 2525             2526 4.437e-05 |
8080 | 2529             2530 4.414e-05 |
8100 | 2536             2537 4.465e-05 |
8120 | 2543             2544 4.490e-05 |
8140 | 2547             2548 4.477e-05 |
8160 | 2554             2555 4.495e-05 |
8180 | 2561             2562 4.440e-05 |
8200 | 2565             2566 4.765e-05 |
8220 | 2571             2572 4.860e-05 |
8240 | 2578             2579 4.543e-05 |
8260 | 2583             2584 4.550e-05 |
8280 | 2592             2593 4.566e-05 |
8300 | 2597             2598 4.539e-05 |
8320 | 2601             2602 4.537e-05 |
8340 | 2610             2611 4.561e-05 |
8360 | 2616             2617 5.343e-05 |
8380 | 2620             2621 4.870e-05 |
8400 | 2629             2630 4.616e-05 |
8420 | 2634             2635 4.604e-05 |
8440 | 2640             2641 4.673e-05 |
8460 | 2648             2649 4.655e-05 |
8480 | 2653             2654 4.618e-05 |
8500 | 2661             2662 4.672e-05 |
8520 | 2667             2668 4.661e-05 |
8540 | 2671             2672 4.721e-05 |
8560 | 2678             2679 4.722e-05 |
8580 | 2686             2687 4.797e-05 |
8600 | 2690             2691 4.732e-05 |
8620 | 2697             2698 4.790e-05 |
8640 | 2705             2706 4.774e-05 |
8660 | 2709             2710 5.360e-05 |
8680 | 2718             2719 4.740e-05 |
8700 | 2724             2725 4.782e-05 |
8720 | 2728             2729 4.772e-05 |
8740 | 2737             2738 4.827e-05 |
8760 | 2742             2743 4.801e-05 |
8780 | 2747             2748 4.822e-05 |
8800 | 2756             2757 4.888e-05 |
8820 | 2761             2762 4.855e-05 |
8840 | 2767             2768 4.883e-05 |
8860 | 2776             2777 4.862e-05 |
8880 | 2781             2782 4.885e-05 |
8900 | 2789             2790 4.903e-05 |
8920 | 2796             2797 4.920e-05 |
8940 | 2800             2801 4.923e-05 |
8960 | 2807             2808 4.928e-05 |
8980 | 2814             2815 5.017e-05 |
9000 | 2818             2819 5.453e-05 |
9020 | 2826             2827 4.994e-05 |
9040 | 2833             2834 4.957e-05 |
9060 | 2837             2838 5.011e-05 |
9080 | 2844             2845 4.961e-05 |
9100 | 2851             2852 5.023e-05 |
9120 | 2857             2858 5.004e-05 |
9140 | 2866             2867 5.037e-05 |
