    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
10600 | 3319             3320 5.992e-05 |
10620 | 3328             3329 6.030e-05 |
10640 | 3333             3334 6.015e-05 |
10660 | 3336             3337 8.289e-05 |
10680 | 3345             3346 7.630e-05 |
10700 | 3351             3352 5.979e-05 |
10720 | 3356             3357 6.021e-05 |
10740 | 3362             3363 6.024e-05 |
10760 | 3369             3370 6.077e-05 |
10780 | 3374             3375 6.051e-05 |
10800 | 3382             3383 6.032e-05 |
10820 | 3386             3387 6.120e-05 |
10840 | 3392             3393 6.139e-05 |
10860 | 3400             3401 6.141e-05 |
10880 | 3404             3405 6.075e-05 |
10900 | 3411             3412 6.084e-05 |
10920 | 3419             3420 6.123e-05 |
10940 | 3423             3424 6.184e-05 |
10960 | 3430             3431 6.097e-05 |
10980 | 3437             3438 6.151e-05 |
11000 | 3441             3442 6.194e-05 |
11020 | 3451             3452 6.188e-05 |
11040 | 3455             3456 6.235e-05 |
11060 | 3459             3460 6.227e-05 |
11080 | 3468             3469 6.283e-05 |
11100 | 3473             3474 6.284e-05 |
11120 | 3478             3479 6.251e-05 |
11140 | 3487             3488 6.380e-05 |
11160 | 3492             3493 6.298e-05 |
11180 | 3499             3500 6.289e-05 |
11200 | 3507             3508 6.252e-05 |
11220 | 3512             3513 6.249e-05 |
11240 | 3519             3520 6.287e-05 |
11260 | 3527             3528 6.326e-05 |
11280 | 3531             3532 6.349e-05 |
11300 | 3537             3538 6.341e-05 |
11320 | 3545             3546 6.375e-05 |
11340 | 3550             3551 6.379e-05 |
11360 | 3556             3557 6.337e-05 |
11380 | 3565             3566 6.354e-05 |
11400 | 3570             3571 6.400e-05 |
11420 | 3580             3581 6.392e-05 |
11440 | 3585             3586 6.403e-05 |
11460 | 3589             3590 6.453e-05 |
11480 | 3598             3599 6.372e-05 |
11500 | 3603             3604 6.503e-05 |
11520 | 3607             3608 6.468e-05 |
11540 | 3617             3618 6.485e-05 |
11560 | 3622             3623 6.548e-05 |
11580 | 3627             3628 6.539e-05 |
11600 | 3636             3637 6.491e-05 |
11620 | 3641             3642 6.552e-05 |
11640 | 3648             3649 6.543e-05 |
11660 | 3654             3655 6.592e-05 |
11680 | 3659             3660 6.620e-05 |
11700 | 3665             3666 6.563e-05 |
11720 | 3673             3674 6.607e-05 |
11740 | 3677             3678 6.660e-05 |
11760 | 3684             3685 6.611e-05 |
11780 | 3691             3692 6.651e-05 |
11800 | 3695             3696 6.636e-05 |
11820 | 3705             3706 6.586e-05 |
11840 | 3711             3712 1.042e-04 |
11860 | 3715             3716 6.686e-05 |
11880 | 3724             3725 6.672e-05 |
11900 | 3728             3729 6.682e-05 |
11920 | 3732             3733 6.732e-05 |
11940 | 3742             3743 6.787e-05 |
11960 | 3747             3748 6.707e-05 |
11980 | 3752             3753 6.764e-05 |
12000 | 3761             3762 6.781e-05 |
12020 | 3766             3767 6.777e-05 |
12040 | 3773             3774 6.724e-05 |
12060 | 3780             3781 6.754e-05 |
12080 | 3784             3785 6.776e-05 |
12100 | 3791             3792 6.835e-05 |
12120 | 3799             3800 6.834e-05 |
12140 | 3803             3804 6.823e-05 |
12160 | 3811             3812 6.854e-05 |
12180 | 3818             3819 6.914e-05 |
12200 | 3822             3823 6.893e-05 |
12220 | 3830             3831 6.924e-05 |
12240 | 3837             3838 6.950e-05 |
12260 | 3842             3843 6.869e-05 |
12280 | 3851             3852 6.953e-05 |
12300 | 3856             3857 6.988e-05 |
12320 | 3860             3861 6.946e-05 |
12340 | 3870             3871 6.943e-05 |
12360 | 3875             3876 6.985e-05 |
12380 | 3880             3881 6.935e-05 |
12400 | 3888             3889 6.953e-05 |
12420 | 3894             3895 7.008e-05 |
12440 | 3900             3901 7.005e-05 |
12460 | 3907             3908 7.017e-05 |
12480 | 3911             3912 7.009e-05 |
12500 | 3919             3920 7.054e-05 |
12520 | 3925             3926 6.995e-05 |
12540 | 3929             3930 7.034e-05 |
12560 | 3936             3937 7.089e-05 |
12580 | 3943             3944 7.131e-05 |
12600 | 3948             3949 7.160e-05 |
12620 | 3956             3957 7.114e-05 |
12640 | 3963             3964 7.086e-05 |
12660 | 3968             3969 7.118e-05 |
12680 | 3976             3977 7.081e-05 |
12700 | 3981             3982 7.139e-05 |
12720 | 3985             3986 7.073e-05 |
12740 | 3994             3995 7.116e-05 |
12760 | 3999             4000 7.099e-05 |
12780 | 4004             4005 7.209e-05 |
12800 | 4013             4014 7.148e-05 |
12820 | 4018             4019 7.168e-05 |
12840 | 4023             4024 7.187e-05 |
12860 | 4031             4032 7.176e-05 |
12880 | 4036             4037 7.231e-05 |
12900 | 4045             4046 7.251e-05 |
12920 | 4051             4052 1.099e-04 |
12940 | 4055             4056 7.211e-05 |
12960 | 4063             4064 7.403e-05 |
12980 | 4070             4071 7.252e-05 |
13000 | 4074             4075 7.337e-05 |
